expiry,T,strike,moneyness,log_moneyness,call_mid,put_mid,call_bid,call_ask,put_bid,put_ask,implied_vol,delta,vega
45D,0.178571,396.0,0.88,-0.1278,58.4081,1.5897,58.3771,58.4391,1.5587,1.6207,0.231995,0.923,27.452
45D,0.178571,405.0,0.9,-0.1054,50.3988,2.5163,50.3688,50.4288,2.4863,2.5463,0.229708,0.8864,36.593
45D,0.178571,414.0,0.92,-0.0834,42.6384,3.6918,42.6094,42.6674,3.6628,3.7208,0.22424,0.842,45.889
45D,0.178571,423.0,0.94,-0.0619,35.4215,5.4109,35.3935,35.4495,5.3829,5.4389,0.220772,0.7842,55.6832
45D,0.178571,432.0,0.96,-0.0408,28.1982,7.1235,28.1712,28.2252,7.0965,7.1505,0.208304,0.722,63.7848
45D,0.178571,441.0,0.98,-0.0202,21.8999,9.7611,21.8739,21.9259,9.7351,9.7871,0.201284,0.6421,70.9993
45D,0.178571,450.0,1.0,0.0,16.4961,13.2932,16.4711,16.5211,13.2682,13.3182,0.196368,0.5508,75.248
45D,0.178571,459.0,1.02,0.0198,12.1974,17.9305,12.1714,12.2234,17.9045,17.9565,0.195073,0.4553,75.3854
45D,0.178571,468.0,1.04,0.0392,8.3234,22.9924,8.2964,8.3504,22.9654,23.0194,0.188033,0.3579,71.0004
45D,0.178571,477.0,1.06,0.0583,5.2828,28.8878,5.2548,5.3108,28.8598,28.9158,0.180431,0.2636,62.1126
45D,0.178571,486.0,1.08,0.077,3.38,35.921,3.351,3.409,35.892,35.95,0.178774,0.1877,51.2166
45D,0.178571,495.0,1.1,0.0953,1.9031,43.38,1.8731,1.9331,43.35,43.41,0.172969,0.1211,38.2765
45D,0.178571,504.0,1.12,0.1133,1.0832,51.496,1.0522,1.1142,51.465,51.527,0.171246,0.0762,27.2425
45D,0.178571,517.5,1.15,0.1398,0.3071,64.1239,0.2746,0.3396,64.0914,64.1564,0.160116,0.027,11.8673
45D,0.178571,540.0,1.2,0.1823,0.0306,86.1872,-0.0044,0.0656,86.1522,86.2222,0.152001,0.0035,2.0077
45D,0.178571,562.5,1.25,0.2231,0.0014,108.4979,-0.0361,0.0389,108.4604,108.5354,0.143657,0.0002,0.1505
60D,0.238095,337.5,0.75,-0.2877,115.989,0.29,115.9515,116.0265,0.2525,0.3275,0.281779,0.9871,7.2832
60D,0.238095,360.0,0.8,-0.2231,94.1223,0.71,94.0873,94.1573,0.675,0.745,0.263065,0.9697,15.0541
60D,0.238095,382.5,0.85,-0.1625,72.7008,1.5752,72.6683,72.7333,1.5427,1.6077,0.242073,0.9352,27.7791
60D,0.238095,396.0,0.88,-0.1278,60.2719,2.5183,60.2409,60.3029,2.4873,2.5493,0.230074,0.8997,38.6298
60D,0.238095,405.0,0.9,-0.1054,52.2649,3.4261,52.2349,52.2949,3.3961,3.4561,0.222358,0.8672,47.1473
60D,0.238095,414.0,0.92,-0.0834,44.4092,4.485,44.3802,44.4382,4.456,4.514,0.212185,0.8287,55.8336
60D,0.238095,423.0,0.94,-0.0619,37.3229,6.3135,37.2949,37.3509,6.2855,6.3415,0.208885,0.7738,66.0502
60D,0.238095,432.0,0.96,-0.0408,30.5886,8.4939,30.5616,30.6156,8.4669,8.5209,0.203161,0.7114,74.9936
60D,0.238095,441.0,0.98,-0.0202,24.3223,11.1423,24.2963,24.3483,11.1163,11.1683,0.196135,0.64,82.1478
60D,0.238095,450.0,1.0,0.0,19.0132,14.7478,18.9882,19.0382,14.7228,14.7728,0.192704,0.5589,86.6408
60D,0.238095,459.0,1.02,0.0198,14.442,19.0914,14.416,14.468,19.0654,19.1174,0.189318,0.4741,87.4134
60D,0.238095,468.0,1.04,0.0392,10.8748,24.4388,10.8478,10.9018,24.4118,24.4658,0.188931,0.3913,84.3242
60D,0.238095,477.0,1.06,0.0583,7.2798,29.7585,7.2518,7.3078,29.7305,29.7865,0.179202,0.3037,76.7692
60D,0.238095,486.0,1.08,0.077,4.8673,36.2607,4.8383,4.8963,36.2317,36.2897,0.175082,0.2276,66.2886
60D,0.238095,495.0,1.1,0.0953,3.0352,43.3433,3.0052,3.0652,43.3133,43.3733,0.169933,0.1603,53.4967
60D,0.238095,504.0,1.12,0.1133,1.5978,50.8206,1.5668,1.6288,50.7896,50.8516,0.160452,0.0991,38.281
60D,0.238095,517.5,1.15,0.1398,0.7536,63.3485,0.7211,0.7861,63.316,63.381,0.160571,0.0523,23.4668
60D,0.238095,540.0,1.2,0.1823,0.125,85.0065,0.09,0.16,84.9715,85.0415,0.152467,0.0111,6.4307
60D,0.238095,562.5,1.25,0.2231,0.022,107.1903,-0.0155,0.0595,107.1528,107.2278,0.15233,0.0023,1.5669
90D,0.357143,337.5,0.75,-0.2877,118.0118,0.7246,117.9743,118.0493,0.6871,0.7621,0.268953,0.9749,15.7444
90D,0.357143,360.0,0.8,-0.2231,96.4975,1.3912,96.4625,96.5325,1.3562,1.4262,0.248902,0.9526,26.5785
90D,0.357143,382.5,0.85,-0.1625,75.5396,2.6142,75.5071,75.5721,2.5817,2.6467,0.229175,0.913,42.5845
90D,0.357143,396.0,0.88,-0.1278,63.3021,3.6852,63.2711,63.3331,3.6542,3.7162,0.215721,0.8784,54.3108
90D,0.357143,405.0,0.9,-0.1054,55.9936,5.2491,55.9636,56.0236,5.2191,5.2791,0.216399,0.8389,65.7338
90D,0.357143,414.0,0.92,-0.0834,48.5288,6.6565,48.4998,48.5578,6.6275,6.6855,0.209301,0.8005,75.1783
90D,0.357143,423.0,0.94,-0.0619,41.5301,8.5302,41.5021,41.5581,8.5022,8.5582,0.203807,0.7537,84.78
90D,0.357143,432.0,0.96,-0.0408,34.4929,10.3653,34.4659,34.5199,10.3383,10.3923,0.193391,0.7035,92.9997
90D,0.357143,441.0,0.98,-0.0202,29.1041,13.8489,29.0781,29.1301,13.8229,13.8749,0.195293,0.6383,100.775
90D,0.357143,450.0,1.0,0.0,22.7478,16.3649,22.7228,22.7728,16.3399,16.3899,0.18211,0.5737,105.4525
90D,0.357143,459.0,1.02,0.0198,18.5175,21.007,18.4915,18.5435,20.981,21.033,0.183553,0.5018,107.285
90D,0.357143,468.0,1.04,0.0392,14.8172,26.179,14.7902,14.8442,26.152,26.206,0.18407,0.4318,105.7167
90D,0.357143,477.0,1.06,0.0583,10.2867,30.5208,10.2587,10.3147,30.4928,30.5488,0.170449,0.3517,99.7806
90D,0.357143,486.0,1.08,0.077,7.5387,36.6452,7.5097,7.5677,36.6162,36.6742,0.16785,0.2828,90.9565
90D,0.357143,495.0,1.1,0.0953,5.435,43.4138,5.405,5.465,43.3838,43.4438,0.166173,0.2218,79.9928
90D,0.357143,504.0,1.12,0.1133,3.5722,50.4234,3.5412,3.6032,50.3924,50.4544,0.160876,0.163,66.2365
90D,0.357143,517.5,1.15,0.1398,1.6983,61.858,1.6658,1.7308,61.8255,61.8905,0.152833,0.0921,44.4132
90D,0.357143,540.0,1.2,0.1823,0.5246,82.8651,0.4896,0.5596,82.8301,82.9001,0.150342,0.034,20.2788
90D,0.357143,562.5,1.25,0.2231,0.0875,104.6089,0.05,0.125,104.5714,104.6464,0.140527,0.0072,5.4008
120D,0.47619,337.5,0.75,-0.2877,120.1079,1.2401,120.0704,120.1454,1.2026,1.2776,0.260268,0.9639,24.621
120D,0.47619,360.0,0.8,-0.2231,98.7509,1.9586,98.7159,98.7859,1.9236,1.9936,0.236113,0.9415,36.2404
120D,0.47619,382.5,0.85,-0.1625,78.5859,3.8691,78.5534,78.6184,3.8366,3.9016,0.226165,0.8928,57.3282
120D,0.47619,396.0,0.88,-0.1278,66.3721,4.9006,66.3411,66.4031,4.8696,4.9316,0.209849,0.8614,68.6398
120D,0.47619,405.0,0.9,-0.1054,58.9036,6.2624,58.8736,58.9336,6.2324,6.2924,0.205435,0.8286,79.0084
120D,0.47619,414.0,0.92,-0.0834,51.9453,8.1342,51.9163,51.9743,8.1052,8.1632,0.203352,0.7882,89.9506
120D,0.47619,423.0,0.94,-0.0619,44.4614,9.4805,44.4334,44.4894,9.4525,9.5085,0.192021,0.7508,98.5144
120D,0.47619,432.0,0.96,-0.0408,38.4086,12.2579,38.3816,38.4356,12.2309,12.2849,0.191474,0.6982,108.2635
120D,0.47619,441.0,0.98,-0.0202,32.759,15.4385,32.733,32.785,15.4125,15.4645,0.190052,0.6424,115.9061
120D,0.47619,450.0,1.0,0.0,26.2025,17.7122,26.1775,26.2275,17.6872,17.7372,0.176894,0.5859,120.9987
120D,0.47619,459.0,1.02,0.0198,21.8869,22.2268,21.8609,21.9129,22.2008,22.2528,0.178087,0.5221,123.6941
120D,0.47619,468.0,1.04,0.0392,17.5254,26.6955,17.4984,17.5524,26.6685,26.7225,0.174342,0.4572,123.1693
120D,0.47619,477.0,1.06,0.0583,13.9117,31.912,13.8837,13.9397,31.884,31.94,0.172141,0.3933,119.4238
120D,0.47619,486.0,1.08,0.077,10.006,36.8365,9.977,10.035,36.8075,36.8655,0.16251,0.3226,111.4279
120D,0.47619,495.0,1.1,0.0953,7.3708,43.0315,7.3408,7.4008,43.0015,43.0615,0.15887,0.2608,100.8886
120D,0.47619,504.0,1.12,0.1133,5.7889,50.2798,5.7579,5.8199,50.2488,50.3108,0.161182,0.2142,90.5295
120D,0.47619,517.5,1.15,0.1398,3.3808,61.1169,3.3483,3.4133,61.0844,61.1494,0.155995,0.1429,70.0693
120D,0.47619,540.0,1.2,0.1823,1.203,81.0147,1.168,1.238,80.9797,81.0497,0.149101,0.0623,38.1126
120D,0.47619,562.5,1.25,0.2231,0.3549,102.242,0.3174,0.3924,102.2045,102.2795,0.143502,0.0221,16.3828
180D,0.714286,337.5,0.75,-0.2877,124.1495,2.1431,124.112,124.187,2.1056,2.1806,0.244042,0.9491,39.7686
180D,0.714286,360.0,0.8,-0.2231,103.603,3.4629,103.568,103.638,3.4279,3.4979,0.228689,0.9191,57.0248
180D,0.714286,382.5,0.85,-0.1625,83.721,5.447,83.6885,83.7535,5.4145,5.4795,0.213161,0.8751,78.2508
180D,0.714286,396.0,0.88,-0.1278,72.0384,6.8842,72.0074,72.0694,6.8532,6.9152,0.201708,0.842,91.7772
180D,0.714286,405.0,0.9,-0.1054,65.4935,9.0858,65.4635,65.5235,9.0558,9.1158,0.204203,0.8057,104.6125
180D,0.714286,414.0,0.92,-0.0834,58.0239,10.3627,57.9949,58.0529,10.3337,10.3917,0.195063,0.7768,113.536
180D,0.714286,423.0,0.94,-0.0619,50.6857,11.771,50.6577,50.7137,11.743,11.799,0.185367,0.744,122.3795
180D,0.714286,432.0,0.96,-0.0408,44.998,14.8298,44.971,45.025,14.8028,14.8568,0.186461,0.6982,132.5977
180D,0.714286,441.0,0.98,-0.0202,38.3294,16.9077,38.3034,38.3554,16.8817,16.9337,0.177355,0.6555,140.0412
180D,0.714286,450.0,1.0,0.0,33.5122,20.837,33.4872,33.5372,20.812,20.862,0.178652,0.6044,146.5012
180D,0.714286,459.0,1.02,0.0198,28.5713,24.6426,28.5453,28.5973,24.6166,24.6686,0.175988,0.553,150.383
180D,0.714286,468.0,1.04,0.0392,23.0354,27.8532,23.0084,23.0624,27.8262,27.8802,0.166469,0.4979,151.7233
180D,0.714286,477.0,1.06,0.0583,19.6966,33.2609,19.6686,19.7246,33.2329,33.2889,0.168426,0.4453,150.2989
180D,0.714286,486.0,1.08,0.077,15.7937,38.1045,15.7647,15.8227,38.0755,38.1335,0.163556,0.3894,145.8541
180D,0.714286,495.0,1.1,0.0953,12.7967,43.8539,12.7667,12.8267,43.8239,43.8839,0.161736,0.3373,138.9225
180D,0.714286,504.0,1.12,0.1133,10.5062,50.31,10.4752,10.5372,50.279,50.341,0.162072,0.2911,130.4077
180D,0.714286,517.5,1.15,0.1398,6.4829,59.4064,6.4504,6.5154,59.3739,59.4389,0.1516,0.2108,109.8432
180D,0.714286,540.0,1.2,0.1823,2.9084,77.6981,2.8734,2.9434,77.6631,77.7331,0.144035,0.1147,73.6616
180D,0.714286,562.5,1.25,0.2231,1.1571,97.8131,1.1196,1.1946,97.7756,97.8506,0.138385,0.0542,41.8389
252D,1.0,337.5,0.75,-0.2877,129.064,3.3304,129.0265,129.1015,3.2929,3.3679,0.235247,0.9345,57.3643
252D,1.0,360.0,0.8,-0.2231,109.0524,4.9366,109.0174,109.0874,4.9016,4.9716,0.220628,0.9037,76.8138
252D,1.0,382.5,0.85,-0.1625,89.8084,7.3104,89.7759,89.8409,7.2779,7.3429,0.207276,0.8601,100.1198
252D,1.0,396.0,0.88,-0.1278,78.6926,9.1652,78.6616,78.7236,9.1342,9.1962,0.199251,0.8269,115.201
252D,1.0,405.0,0.9,-0.1054,71.7686,10.8883,71.7386,71.7986,10.8583,10.9183,0.196033,0.7994,126.205
252D,1.0,414.0,0.92,-0.0834,64.5664,12.3332,64.5374,64.5954,12.3042,12.3622,0.188984,0.7726,135.7798
252D,1.0,423.0,0.94,-0.0619,58.5787,14.9926,58.5507,58.6067,14.9646,15.0206,0.188946,0.7368,146.8707
252D,1.0,432.0,0.96,-0.0408,51.5005,16.5616,51.4735,51.5275,16.5346,16.5886,0.179666,0.7053,155.195
252D,1.0,441.0,0.98,-0.0202,46.9796,20.6877,46.9536,47.0056,20.6617,20.7137,0.184717,0.6621,164.487
252D,1.0,450.0,1.0,0.0,40.3374,22.6927,40.3124,40.3624,22.6677,22.7177,0.17474,0.6241,170.7656
252D,1.0,459.0,1.02,0.0198,34.3253,25.3277,34.2993,34.3513,25.3017,25.3537,0.166796,0.581,175.8096
252D,1.0,468.0,1.04,0.0392,29.3665,29.016,29.3395,29.3935,28.989,29.043,0.162845,0.5343,178.8582
252D,1.0,477.0,1.06,0.0583,25.782,34.0786,25.754,25.81,34.0506,34.1066,0.164372,0.4884,179.4488
252D,1.0,486.0,1.08,0.077,21.4101,38.3538,21.3811,21.4391,38.3248,38.3828,0.159288,0.4394,177.4514
252D,1.0,495.0,1.1,0.0953,18.3331,43.9239,18.3031,18.3631,43.8939,43.9539,0.159295,0.3945,173.2113
252D,1.0,504.0,1.12,0.1133,15.0518,49.2897,15.0208,15.0828,49.2587,49.3207,0.155919,0.3474,166.2253
252D,1.0,517.5,1.15,0.1398,10.8201,58.0286,10.7876,10.8526,57.9961,58.0611,0.15057,0.2785,151.0881
252D,1.0,540.0,1.2,0.1823,5.7678,74.5941,5.7328,5.8028,74.5591,74.6291,0.142729,0.1773,116.9532
252D,1.0,562.5,1.25,0.2231,2.7552,93.1992,2.7177,2.7927,93.1617,93.2367,0.135958,0.1004,79.2248
365D,1.448413,337.5,0.75,-0.2877,136.6945,5.1966,136.657,136.732,5.1591,5.2341,0.228961,0.918,81.9942
365D,1.448413,360.0,0.8,-0.2231,117.576,7.3115,117.541,117.611,7.2765,7.3465,0.217098,0.8862,104.3556
365D,1.448413,382.5,0.85,-0.1625,98.6432,9.6122,98.6107,98.6757,9.5797,9.6447,0.201516,0.8486,127.0805
365D,1.448413,396.0,0.88,-0.1278,87.2519,10.961,87.2209,87.2829,10.93,10.992,0.18983,0.8231,140.5463
365D,1.448413,405.0,0.9,-0.1054,80.9075,13.11,80.8775,80.9375,13.08,13.14,0.189549,0.7967,153.114
365D,1.448413,414.0,0.92,-0.0834,74.277,14.9729,74.248,74.306,14.9439,15.0019,0.185897,0.7714,163.88
365D,1.448413,423.0,0.94,-0.0619,67.1214,16.3107,67.0934,67.1494,16.2827,16.3387,0.178037,0.7474,173.0468
365D,1.448413,432.0,0.96,-0.0408,61.4147,19.0973,61.3877,61.4417,19.0703,19.1243,0.177319,0.7155,183.7156
365D,1.448413,441.0,0.98,-0.0202,55.3885,21.5646,55.3625,55.4145,21.5386,21.5906,0.173412,0.6839,192.6622
365D,1.448413,450.0,1.0,0.0,48.9888,23.6582,48.9638,49.0138,23.6332,23.6832,0.166387,0.6515,200.2783
365D,1.448413,459.0,1.02,0.0198,44.5338,27.6966,44.5078,44.5598,27.6706,27.7226,0.167657,0.614,207.1676
365D,1.448413,468.0,1.04,0.0392,39.6336,31.2898,39.6066,39.6606,31.2628,31.3168,0.165211,0.5767,212.0482
365D,1.448413,477.0,1.06,0.0583,35.2839,35.4335,35.2559,35.3119,35.4055,35.4615,0.163892,0.5386,215.0445
365D,1.448413,486.0,1.08,0.077,30.9284,39.5714,30.8994,30.9574,39.5424,39.6004,0.161079,0.4995,216.057
365D,1.448413,495.0,1.1,0.0953,25.3752,42.5116,25.3452,25.4052,42.4816,42.5416,0.151213,0.4545,214.6486
365D,1.448413,504.0,1.12,0.1133,22.0437,47.6735,22.0127,22.0747,47.6425,47.7045,0.150105,0.4144,211.0618
365D,1.448413,517.5,1.15,0.1398,18.1751,56.545,18.1426,18.2076,56.5125,56.5775,0.151082,0.3598,202.5659
365D,1.448413,540.0,1.2,0.1823,11.8502,71.4535,11.8152,11.8852,71.4185,71.4885,0.146077,0.2678,178.3196
365D,1.448413,562.5,1.25,0.2231,7.3651,88.2019,7.3276,7.4026,88.1644,88.2394,0.141798,0.1887,146.3377
